Time (UTC),cf_solar_anom,cf_wind_anom,load_mw_anom,n_targets_anom,price_anom,combined_score,CF_Solar_true,CF_Solar_pred,CF_Wind_true,CF_Wind_pred,Load_MW_true,Load_MW_pred,Price_true,Price_pred,dPrice_pred,dPrice_true,action,imbalance,utility,utility_cum
2022-12-08 02:00:00,0.0,0.0,0.0,0.0,0.0,2.5558156689685267,0.0,0.0691236150323225,0.0854285714285714,0.5836011493996169,6340.0,8260.462870268915,285.785,96.91894130506176,-0.3226895841851416,-5.829999999999984,0.0,0.0,12.779078344842635,40825.281183237144
2022-12-08 03:00:00,0.0,0.0,0.0,0.0,0.0,2.7368917078432933,0.0,0.0661287478226124,0.076,0.5968576907765956,6346.0,8608.05238141261,293.4375,97.29328881470528,0.3743475096435134,7.652499999999975,0.0,0.0,13.684458539216466,40838.96564177636
2022-12-08 04:00:00,0.0,0.0,0.0,0.0,0.0,2.3668607192584443,0.0,0.0888570917588812,0.0765714285714285,0.5979642881327608,6502.0,8632.038206416879,320.04,98.20747029013906,0.9141814754337787,26.60250000000002,0.0,0.0,11.834303596292221,40850.79994537265
2022-12-08 05:00:00,0.0,0.0,0.0,0.0,0.0,2.0832937633722803,0.0,0.1146833589557898,0.0754285714285714,0.566105461438717,6599.0,8660.120036991411,348.7275,99.19758077520837,0.9901104850693088,28.6875,0.0,0.0,10.416468816861402,40861.21641418951
2022-12-08 06:00:00,0.0,0.0,0.0,0.0,0.0,1.8510721535461048,0.002,0.1348089129670634,0.124,0.5258144390242753,7002.0,8106.700447758216,399.0,97.39934773422628,-1.7982330409820833,50.27249999999998,0.0,0.0,9.255360767730524,40870.471774957245
2022-12-08 07:00:00,0.0,0.0,0.0,0.0,0.0,1.821302993579332,0.0108,0.1502838698614502,0.1625714285714285,0.5012240084198096,7373.0,7195.767074614481,436.03,93.2866721813106,-4.112675552915675,37.02999999999997,0.0,0.0,9.10651496789666,40879.57828992514
2022-12-08 08:00:00,0.0,0.0,0.0,0.0,0.0,1.7563289450085535,0.0252,0.1786826643371699,0.158,0.467950102643306,7614.0,6724.561243347217,438.725,92.5039921246344,-0.7826800566762131,2.69500000000005,0.0,0.0,8.781644725042767,40888.35993465019
2022-12-08 09:00:00,0.0,0.0,0.0,0.0,0.0,1.6876161785363526,0.0408,0.1959608512925341,0.1508571428571428,0.4646629413759741,7751.0,6705.369791631678,440.48,93.11218304479368,0.6081909201592879,1.7549999999999955,0.0,0.0,8.438080892681763,40896.79801554287
2022-12-08 10:00:00,0.0,0.0,0.0,0.0,0.0,1.5174231748506637,0.0524,0.2090494237164224,0.1577142857142857,0.4403315323696569,7740.0,6346.381147796067,439.9025,91.7601271922402,-1.3520558525534767,-0.5775000000000432,0.0,0.0,7.5871158742533185,40904.38513141712
2022-12-08 11:00:00,0.0,0.0,0.0,0.0,0.0,1.4750648173819092,0.0568,0.2098782094816068,0.1562857142857142,0.4208445514514912,7536.0,6096.382357110963,431.18,90.8540473047081,-0.9060798875321012,-8.722499999999968,0.0,0.0,7.375324086909546,40911.76045550403
2022-12-08 12:00:00,0.0,0.0,0.0,0.0,0.0,1.5792781015071755,0.0504,0.2144317131651602,0.1388571428571428,0.3963915668921481,7384.0,5803.0843983577815,436.2575,90.90496521479923,0.05091791009112967,5.077499999999986,0.0,0.0,7.896390507535878,40919.65684601157
2022-12-08 13:00:00,0.0,0.0,0.0,0.0,0.0,1.815142845899874,0.0344,0.2206921155813578,0.1388571428571428,0.408186566719448,7358.0,5727.488834070215,436.46,91.11488362646662,0.20991841166738823,0.20249999999998636,0.0,0.0,9.07571422949937,40928.732560241064
2022-12-08 14:00:00,0.0,0.0,0.0,0.0,0.0,2.0413269053899263,0.014,0.2147730767426664,0.1322857142857142,0.4060450265399091,7502.0,5492.530892932474,453.955,90.03892335893138,-1.0759602675352369,17.495000000000005,0.0,0.0,10.206634526949632,40938.93919476801
2022-12-08 15:00:00,0.0,0.0,0.0,0.0,0.0,2.1476576043707274,0.0008,0.2198144858547286,0.114,0.4143184356443967,7852.0,5501.136877885382,469.2475,90.12815117761816,0.08922781868677987,15.292500000000018,0.0,0.0,10.738288021853638,40949.67748278986
2022-12-08 16:00:00,0.0,0.0,0.0,0.0,0.0,1.8430989381475185,0.0,0.2245253463165732,0.0957142857142857,0.3958171904403947,8082.0,5641.771560472502,500.1875,91.04565108338215,0.9174999057639894,30.939999999999998,0.0,0.0,9.215494690737593,40958.8929774806
2022-12-08 17:00:00,0.0,0.0,0.0,0.0,0.0,1.875949617607789,0.0,0.2113587904408097,0.0868571428571428,0.3968914347863109,7965.0,5868.170021368429,490.2075,91.4946210626428,0.44896997926065296,-9.980000000000018,0.0,0.0,9.379748088038944,40968.27272556864
2022-12-08 18:00:00,0.0,0.0,0.0,0.0,0.0,2.043248473113118,0.0,0.1863154520648398,0.0848571428571428,0.4172305294438908,7696.0,5873.27348919078,449.045,89.63480017830803,-1.8598208843347805,-41.162499999999966,0.0,0.0,10.216242365565591,40978.48896793421
2022-12-08 19:00:00,0.0,0.0,0.0,0.0,0.0,2.1628802231423827,0.0,0.1710296394717357,0.0722857142857142,0.4164631691054497,7385.0,5738.801582009183,409.92,88.44743718096655,-1.1873629973414808,-39.125,0.0,0.0,10.814401115711913,40989.30336904992
2022-12-08 20:00:00,0.0,0.0,0.0,0.0,0.0,2.3368848116051777,0.0,0.1605834533042561,0.0534285714285714,0.4006959746085645,7021.0,5407.858946788498,374.965,86.47816680451658,-1.9692703764499697,-34.95500000000004,0.0,0.0,11.684424058025888,41000.987793107946
2022-12-08 21:00:00,0.0,0.0,0.0,0.0,0.0,2.4003657962316707,0.0,0.1489771284888492,0.044,0.4003094615911319,7074.0,5363.504078901341,359.4225,85.78021194807505,-0.6979548564415268,-15.542499999999961,0.0,0.0,12.001828981158354,41012.9896220891
2022-12-08 22:00:00,0.0,0.0,0.0,0.0,0.0,2.62734034774474,0.0,0.136122143996202,0.0317142857142857,0.4221384310502801,6688.0,5702.647999576442,330.0025,86.11157735080583,0.33136540273078197,-29.420000000000016,0.0,0.0,13.1367017387237,41026.126323827826
2022-12-08 23:00:00,0.0,0.0,0.0,0.0,0.0,3.019120545415708,0.0,0.1196819939110748,0.0288571428571428,0.4173010497393946,6404.0,5707.42359801189,336.425,85.48098395626785,-0.630593394537982,6.422500000000014,0.0,0.0,15.095602727078541,41041.22192655491
2022-12-09 00:00:00,0.0,0.0,0.0,0.0,0.0,3.158584012714905,0.0,0.0987438249490579,0.0325714285714285,0.4564083009388934,6193.0,5410.049187036752,326.7425,81.85732707196951,-3.6236568842983417,-9.682500000000005,0.0,0.0,15.792920063574524,41057.014846618484
2022-12-09 01:00:00,0.0,0.0,0.0,0.0,0.0,3.078802727594092,0.0,0.0858586423656339,0.0377142857142857,0.4706523426762929,6088.0,5675.428607529586,314.465,83.13365633884091,1.2763292668714001,-12.277500000000032,0.0,0.0,15.39401363797046,41072.40886025645
2022-12-09 02:00:00,0.0,0.0,0.0,0.0,0.0,3.0307510578636987,0.0,0.089730905200791,0.0331428571428571,0.4753136598869197,5984.0,5744.837102035491,311.1825,83.40088586967887,0.26722953083796597,-3.2824999999999704,0.0,0.0,15.153755289318493,41087.56261554577
2022-12-09 03:00:00,0.0,0.0,0.0,0.0,0.0,2.842227399872477,0.0,0.0881273073476278,0.0362857142857142,0.4744551400415019,6088.0,6132.229744870441,321.205,85.64468335182077,2.2437974821419004,10.02249999999998,0.0,0.0,14.211136999362386,41101.77375254514
2022-12-09 04:00:00,0.0,0.0,0.0,0.0,0.0,2.478468472204005,0.0,0.1015215145105957,0.0422857142857142,0.4943214662757238,6597.0,6610.665041252084,345.0375,88.86285490563579,3.2181715538150115,23.83250000000004,0.0,0.0,12.392342361020026,41114.166094906155
2022-12-09 05:00:00,0.0,0.0,0.0,0.0,0.0,2.155185300498852,0.0,0.1259876309012287,0.0791428571428571,0.426584879895629,7456.0,6605.01563346153,416.38,91.59739898757262,2.734544081936832,71.34249999999997,0.0,0.0,10.77592650249426,41124.94202140865
2022-12-09 06:00:00,0.0,0.0,0.0,0.0,0.0,1.899403596823034,0.002,0.1480943089447663,0.14,0.4202055299259467,8232.0,6504.017137139324,466.31,91.04715839108742,-0.550240596485196,49.93000000000001,0.0,0.0,9.497017984115171,41134.43903939277
2022-12-09 07:00:00,1.0,1.0,0.0,0.0,1.0,2.0795350870907487,0.0076,0.1654065428996889,0.122,0.4082669191041489,8600.0,6253.186225016445,489.075,90.37710455094096,-0.6700538401464655,22.764999999999986,0.0,0.0,10.397675435453744,41144.83671482822
2022-12-09 08:00:00,1.0,0.0,0.0,0.0,1.0,1.9728936144980345,0.0124,0.2006014658366044,0.1742857142857143,0.3832987666605179,8905.0,6054.572018537553,489.615,91.4236120501808,1.046507499239837,0.5400000000000205,0.0,0.0,9.864468072490173,41154.70118290071
2022-12-09 09:00:00,1.0,0.0,0.0,0.0,1.0,1.9957964508551889,0.0212,0.2266660556947093,0.1991428571428571,0.3925113055962455,9019.0,6197.656020432593,489.91,93.46482469847535,2.041212648294561,0.2950000000000159,0.0,0.0,9.978982254275945,41164.68016515498
2022-12-09 10:00:00,1.0,0.0,0.0,0.0,1.0,1.8690343432181191,0.0292,0.2455611069011307,0.1917142857142857,0.4108212144514081,9162.0,6382.222918235503,485.93,95.36477060234812,1.8999459038727622,-3.980000000000018,0.0,0.0,9.345171716090595,41174.02533687108
2022-12-09 11:00:00,1.0,0.0,0.0,0.0,1.0,1.98839828880218,0.0328,0.2593669303216652,0.1791428571428571,0.4133186303480131,9040.0,6361.18192953551,480.59,95.45653934237134,0.09176874002322677,-5.340000000000032,0.0,0.0,9.9419914440109,41183.967328315084
2022-12-09 12:00:00,1.0,0.0,0.0,0.0,1.0,2.395630040429201,0.0284,0.2623610081944585,0.1214285714285714,0.410148005876765,8825.0,6340.460120633482,474.9425,95.50631666814866,0.04977732577731331,-5.6474999999999795,0.0,0.0,11.978150202146004,41195.94547851723
2022-12-09 13:00:00,1.0,1.0,0.0,0.0,1.0,2.309356121697076,0.02,0.2520496064498654,0.1457142857142857,0.4040154926719955,8651.0,6261.361746336567,473.44,95.11451177655124,-0.3918048915974168,-1.5024999999999977,0.0,0.0,11.546780608485381,41207.49225912571
2022-12-09 14:00:00,1.0,0.0,0.0,0.0,1.0,2.242284368039787,0.0108,0.2511278944874151,0.2097142857142857,0.4035958327386768,8535.0,6279.593244851091,470.9525,95.2510206190944,0.1365088425431651,-2.4875000000000114,0.0,0.0,11.211421840198934,41218.70368096591
2022-12-09 15:00:00,1.0,0.0,0.0,0.0,1.0,2.176308395633304,0.0008,0.2487119083268569,0.2131428571428571,0.4049892660181767,8606.0,6291.750971329682,492.7975,95.31793271990864,0.06691210081423549,21.845000000000027,0.0,0.0,10.88154197816652,41229.58522294408
2022-12-09 16:00:00,0.0,0.0,0.0,0.0,0.0,1.844495065022624,0.0,0.2517423713321003,0.1342857142857142,0.3928324892577555,8600.0,6182.352461036254,506.7143000000001,94.94692889292034,-0.37100382698830003,13.91680000000008,0.0,0.0,9.22247532511312,41238.80769826919
2022-12-09 17:00:00,0.0,0.0,0.0,0.0,0.0,1.9201345778442105,0.0,0.2355373547913059,0.1051428571428571,0.3864977839899505,8357.0,6303.201719765404,498.43,95.48114840029363,0.5342195073732938,-8.284300000000087,0.0,0.0,9.600672889221052,41248.40837115842
2022-12-09 18:00:00,0.0,0.0,0.0,0.0,0.0,1.99403247062958,0.0,0.1965364356981541,0.092,0.3747648266710516,8042.0,6104.254215989223,469.965,93.30070848764014,-2.1804399126534975,-28.465000000000032,0.0,0.0,9.9701623531479,41258.37853351157
2022-12-09 19:00:00,0.0,0.0,0.0,0.0,0.0,2.27435203248748,0.0,0.1649303269173946,0.0542857142857142,0.3697096811948143,7592.0,6021.516036486237,454.43,91.95267752393327,-1.3480309637068615,-15.534999999999968,0.0,0.0,11.3717601624374,41269.750293674006
2022-12-09 20:00:00,0.0,0.0,0.0,0.0,0.0,2.1204802789369626,0.0,0.1425439445882579,0.0671428571428571,0.3611314315597712,7024.0,5941.177463070363,401.725,91.06812427417702,-0.8845532497562516,-52.704999999999984,0.0,0.0,10.602401394684813,41280.352695068694
2022-12-09 21:00:00,0.0,1.0,0.0,0.0,1.0,1.8789514964603984,0.0,0.1237686142867237,0.1165714285714285,0.3798450831056505,6888.0,6458.39933709378,379.3025,93.02283236543668,1.9547080912596613,-22.422500000000014,0.0,0.0,9.394757482301992,41289.747452551
2022-12-09 22:00:00,0.0,0.0,0.0,0.0,0.0,1.7771214077322175,0.0,0.1194125842201238,0.2025714285714285,0.4074107804639486,6492.0,6730.339575481269,351.0025,93.01052403895535,-0.012308326481331733,-28.30000000000001,0.0,0.0,8.885607038661087,41298.63305958966
2022-12-09 23:00:00,0.0,0.0,0.0,0.0,0.0,1.732731568845708,0.0,0.1079963533848434,0.3462857142857143,0.4206736587621761,6424.0,7490.683281283911,335.005,95.73498199290508,2.724457953949724,-15.997500000000002,0.0,0.0,8.66365784422854,41307.296717433885
2022-12-10 00:00:00,0.0,0.0,0.0,0.0,0.0,1.7722334774676036,0.0,0.0933589637957115,0.368,0.4121476627148477,6062.0,6953.838236378153,312.98,92.22190601659672,-3.5130759763083574,-22.024999999999977,0.0,0.0,8.861167387338018,41316.15788482122
2022-12-10 01:00:00,0.0,0.0,0.0,0.0,1.0,1.729707825647533,0.0,0.0720571507519681,0.3508571428571428,0.3907691532130838,5945.0,6973.054913551704,303.6925,91.1464962959114,-1.0754097206853146,-9.287500000000023,0.0,0.0,8.648539128237665,41324.80642394946
2022-12-10 02:00:00,0.0,0.0,0.0,0.0,1.0,1.727561852977062,0.0,0.0658752435984775,0.3097142857142857,0.3964179128352765,5792.0,6783.083101936904,300.6425,89.52604691827241,-1.620449377638991,-3.0500000000000114,0.0,0.0,8.637809264885309,41333.44423321435
2022-12-10 03:00:00,0.0,0.0,0.0,1.0,1.0,1.5282258975678475,0.0,0.0605088089918795,0.3114285714285714,0.4066279880309648,5818.0,7090.402105778804,300.0,90.5299657819609,1.003918863688483,-0.6424999999999841,0.0,0.0,7.641129487839238,41341.08536270219
2022-12-10 04:00:00,0.0,0.0,0.0,1.0,1.0,1.152526768296907,0.0,0.0816865196447844,0.296,0.4319362677190188,6141.0,7388.463985733872,313.6975,92.05722569213594,1.5272599101750473,13.697499999999991,0.0,0.0,5.762633841484535,41346.84799654368
2022-12-10 05:00:00,0.0,0.0,0.0,0.0,0.0,0.9127494373760672,0.0,0.115505485060009,0.288,0.4443276471050326,6473.0,7557.390207257719,333.4375,93.39978037482014,1.3425546826841952,19.74000000000001,0.0,0.0,4.563747186880336,41351.41174373056
2022-12-10 06:00:00,0.0,0.0,0.0,0.0,1.0,0.6517580980455258,0.0024,0.1242187013615101,0.2657142857142857,0.439703542247339,6978.0,7657.849322573573,347.12,95.235145647697,1.8353652728768566,13.682500000000005,0.0,0.0,3.2587904902276286,41354.670534220786
2022-12-10 07:00:00,0.0,0.0,0.0,0.0,0.0,0.7897727920549331,0.0092,0.1428025073579602,0.2957142857142857,0.4644951082527438,7359.0,7594.014309374639,371.0575,95.38323577288604,0.14809012518904296,23.9375,0.0,0.0,3.9488639602746654,41358.61939818106
2022-12-10 08:00:00,0.0,0.0,0.0,0.0,1.0,1.0630216671905663,0.0184,0.1637405182133886,0.3028571428571429,0.4309415330364839,7729.0,6867.131856189192,395.02,93.00970203422028,-2.3735337386657562,23.962499999999977,0.0,0.0,5.315108335952832,41363.93450651701
2022-12-10 09:00:00,0.0,0.0,0.0,0.0,1.0,1.0829913936310542,0.0288,0.1756953448745497,0.2171428571428571,0.401925861369871,8001.0,6542.113069831562,399.9325,92.58751398305708,-0.4221880511632037,4.912500000000023,0.0,0.0,5.414956968155272,41369.34946348517
2022-12-10 10:00:00,0.0,0.0,0.0,1.0,1.0,1.019870626312355,0.0328,0.1942442686172856,0.2694285714285714,0.3729441421809549,8119.0,6179.105492235785,396.63,91.8786746342656,-0.7088393487914857,-3.302500000000009,0.0,0.0,5.099353131561775,41374.44881661673
2022-12-10 11:00:00,0.0,0.0,0.0,0.0,1.0,1.1480009873358563,0.0292,0.213577138646839,0.3428571428571428,0.3693535111485965,8059.0,5972.4574988221375,392.2625,91.72755200681732,-0.15112262744827376,-4.367500000000007,0.0,0.0,5.740004936679282,41380.188821553405
2022-12-10 12:00:00,0.0,0.0,0.0,0.0,1.0,1.398282837277239,0.0228,0.2261323463780985,0.3617142857142857,0.3832577931147682,7937.0,5999.240562560407,383.11,92.6006200496139,0.8730680427965751,-9.152499999999975,0.0,0.0,6.991414186386194,41387.18023573979
2022-12-10 13:00:00,1.0,0.0,0.0,0.0,1.0,1.6085935972915428,0.014,0.2224347215596829,0.396,0.3713238639062265,7847.0,5757.633731980383,397.63,91.91789387570516,-0.6827261739087334,14.519999999999982,0.0,0.0,8.042967986457715,41395.22320372625
2022-12-10 14:00:00,1.0,0.0,0.0,0.0,1.0,1.5647670995082228,0.0088,0.2112499473641894,0.4468571428571428,0.3826466018610113,7846.0,5775.038914443011,407.1675,91.89448114371088,-0.023412731994284286,9.537500000000023,0.0,0.0,7.823835497541114,41403.04703922379
2022-12-10 15:00:00,1.0,0.0,0.0,0.0,1.0,1.5599232983972957,0.0008,0.2190863240126912,0.4728571428571428,0.3796312090905415,7984.0,5810.027701311183,424.175,92.11019979751048,0.21571865379959831,17.007499999999993,0.0,0.0,7.7996164919864786,41410.84665571578
2022-12-10 16:00:00,0.0,0.0,0.0,0.0,0.0,1.3563265260912227,0.0,0.2295764446232505,0.5565714285714286,0.3891291398885086,8136.0,5890.138688733579,455.33,92.521564452964,0.4113646554535251,31.154999999999973,0.0,0.0,6.781632630456114,41417.62828834623
2022-12-10 17:00:00,0.0,0.0,0.0,0.0,0.0,1.5163814261071016,0.0,0.221121842151093,0.6794285714285714,0.4015983919705673,7988.0,6013.116547114568,441.495,92.23373136035153,-0.28783309261247325,-13.83499999999998,0.0,0.0,7.581907130535508,41425.21019547677
2022-12-10 18:00:00,0.0,0.0,0.0,0.0,0.0,1.836698276030508,0.0,0.2087058413335396,0.6971428571428572,0.4027376002562375,7693.0,6045.742723280192,419.5075,92.0232387396694,-0.21049262068213181,-21.98750000000001,0.0,0.0,9.183491380152539,41434.39368685692
2022-12-10 19:00:00,0.0,0.0,0.0,0.0,0.0,1.7334998038009086,0.0,0.1931657872569535,0.7268571428571429,0.4578731397003067,7345.0,6302.303987512908,376.7775,91.74463928110886,-0.27859945856053514,-42.73000000000002,0.0,0.0,8.667499019004543,41443.06118587593
2022-12-10 20:00:00,0.0,0.0,0.0,0.0,0.0,2.014159079302104,0.0,0.1734805479850352,0.7557142857142857,0.4474684325646951,7011.0,6012.966083508358,349.4675,89.5811334164149,-2.16350586469396,-27.310000000000002,0.0,0.0,10.070795396510519,41453.13198127244
2022-12-10 21:00:00,0.0,0.0,0.0,0.0,0.0,2.164305267855114,0.0,0.1693001648912991,0.7831428571428571,0.4578730233308264,7079.0,5985.361375295911,335.0175,88.54467669005062,-1.0364567263642783,-14.449999999999989,0.0,0.0,10.821526339275568,41463.95350761172
2022-12-10 22:00:00,0.0,0.0,0.0,0.0,0.0,2.4229641390065746,0.0,0.1601417914069208,0.8205714285714286,0.4798784584056687,6697.0,5994.249352633599,313.485,86.99522086735593,-1.5494558226946964,-21.53249999999997,0.0,0.0,12.114820695032872,41476.06832830675
2022-12-10 23:00:00,0.0,0.0,0.0,0.0,0.0,2.8450455280754,0.0,0.1438420691955269,0.8691428571428571,0.4923681234263897,6430.0,5845.020485996245,303.4775,85.22617405489477,-1.7690468124611556,-10.007499999999993,0.0,0.0,14.225227640377,41490.29355594712
2022-12-11 00:00:00,0.0,0.0,0.0,0.0,0.0,2.9406633138461444,0.0,0.1404123632122427,0.8797142857142857,0.5306808120188836,6177.0,6139.743466558851,299.9975,85.79234458223935,0.5661705273445818,-3.480000000000018,0.0,0.0,14.703316569230722,41504.996872516356
2022-12-11 01:00:00,0.0,0.0,0.0,0.0,0.0,2.830087883137099,0.0,0.1374304917422144,0.8788571428571429,0.5674214896511743,6057.0,6830.855192723415,289.22,88.65850500685747,2.8661604246181156,-10.777499999999975,0.0,0.0,14.150439415685494,41519.14731193204
2022-12-11 02:00:00,0.0,0.0,0.0,0.0,0.0,2.440112051946852,0.0,0.1339564887090793,0.8617142857142858,0.5796066198985103,5965.0,7355.740643394618,277.4575,91.0678938850767,2.4093888782192323,-11.762500000000045,0.0,0.0,12.20056025973426,41531.34787219178
2022-12-11 03:00:00,0.0,0.0,0.0,0.0,0.0,2.159682387724053,0.0,0.1314859117161402,0.8577142857142858,0.6030697001005596,5961.0,7802.928865234591,287.4475,93.02516936036918,1.9572754752924766,9.990000000000009,0.0,0.0,10.798411938620266,41542.1462841304
2022-12-11 04:00:00,0.0,0.0,0.0,0.0,1.0,1.5111187458343665,0.0,0.1366754595038487,0.8562857142857143,0.6115848339250914,6151.0,8333.68026173854,300.0025,95.22892198628423,2.203752625915058,12.555000000000007,0.0,0.0,7.555593729171832,41549.701877859574
2022-12-11 05:00:00,0.0,0.0,0.0,0.0,1.0,0.8894097590050469,0.0,0.1455467986689417,0.8511428571428571,0.6304954755649362,6380.0,8750.271682379791,295.2,97.8651381120425,2.636216125758267,-4.802500000000009,0.0,0.0,4.447048795025235,41554.1489266546
2022-12-11 06:00:00,0.0,0.0,0.0,0.0,0.0,0.6165060731060135,0.0016,0.1530486214577926,0.8551428571428571,0.6246596250272344,6775.0,8500.21370973403,304.335,97.50647582554586,-0.35866228649663867,9.134999999999991,0.0,0.0,3.0825303655300673,41557.23145702013
2022-12-11 07:00:00,1.0,0.0,0.0,0.0,1.0,0.9907427613555776,0.0092,0.1552871984185391,0.8605714285714285,0.553459069257491,7211.0,7709.156379958981,323.0775,95.10754599035452,-2.398929835191339,18.742500000000007,0.0,0.0,4.953713806777888,41562.1851708269
