year,month,target,n_points,RMSE,MAE,MAPE_percent,R2,anomaly_count
2022,1,CF_Solar,672,0.12058158291771692,0.11123183676808297,1806.1041678935303,-24.085859429636837,205
2022,1,CF_Wind,672,0.1940201762377529,0.16505794477320448,591.7479181848049,0.4555735111938961,193
2022,1,Load_MW,672,2052.5922333245003,1735.936611936802,21.47127574093383,-1.9044827105120081,129
2022,1,Price,672,121.8528831989319,112.28440000943647,53.06096464353062,-4.742889858440838,194
2022,2,CF_Solar,672,0.10725786268969739,0.09794881688605668,1593.1482935494973,-5.210880698882827,135
2022,2,CF_Wind,672,0.17006078315934137,0.14124059467268993,191.5325722752139,0.5461286080231524,124
2022,2,Load_MW,672,2168.5770539443597,1801.5012833271826,21.700703273045743,-2.3153860214228184,147
2022,2,Price,672,88.76536824584447,80.52738314734093,45.11981229234887,-3.5853589594759,55
2022,3,CF_Solar,744,0.1322449278679316,0.12006600415245038,1387.6679730489172,-3.1620909609981327,328
2022,3,CF_Wind,744,0.2609888405873914,0.23631879740831188,841.8998781531066,-1.2422367445906355,397
2022,3,Load_MW,744,2178.2553448315225,1878.4567936838253,24.062148375369187,-2.961939252573781,161
2022,3,Price,744,215.48632083640865,198.8403807072186,67.31889480531194,-5.186144072951215,573
2022,4,CF_Solar,720,0.11913756543547908,0.10642122352432837,1543.802202286429,-2.3620283840761354,231
2022,4,CF_Wind,720,0.21301539219229723,0.18094724131359316,623.8681960932565,0.06749762918672764,246
2022,4,Load_MW,720,2050.96562405967,1676.0955842297049,22.93247855701249,-4.019690529622733,141
2022,4,Price,720,118.46800889578773,109.52075895566684,53.304876712934366,-4.4404780384713085,230
2022,5,CF_Solar,744,0.1155969570768417,0.10250703585454604,1240.7952269747068,-1.2290444795833175,206
2022,5,CF_Wind,744,0.2630410214505302,0.23521448448327748,1769.5536249297952,-1.49182684337178,425
2022,5,Load_MW,744,1848.3183817532986,1479.817703008958,22.12793887300173,-2.1197252882554016,97
2022,5,Price,744,111.83193360984026,103.01609744783,52.84059853075506,-3.6161279220820335,182
2022,6,CF_Solar,720,0.1216260146048062,0.1071523558129186,1466.7196888358644,-1.7370067797686346,241
2022,6,CF_Wind,720,0.25588177957055636,0.22887486064900023,895.9365091192789,-0.8345661947987157,388
2022,6,Load_MW,720,1958.7879818541358,1615.4264640210965,24.45152855843513,-1.8351089225819144,135
2022,6,Price,720,158.8389707077321,141.2670560394717,58.46666495499806,-3.2651180043488424,316
2022,7,CF_Solar,744,0.13534271543817358,0.117403693367494,1601.2629183142951,-1.425306779082021,319
2022,7,CF_Wind,744,0.3132728723682507,0.2858763481602111,2085.81997630947,-1.491217571198837,502
2022,7,Load_MW,744,1793.7005469581047,1513.820659944861,23.564635754502465,-1.8028127223897603,78
2022,7,Price,744,286.9470679393784,274.41885628822456,74.30562426883156,-9.93228775808675,701
2022,8,CF_Solar,744,0.14529217359104946,0.12897363185928087,1487.6421918501064,-2.2324195931934305,395
2022,8,CF_Wind,744,0.3503918392254816,0.32418573665736605,3040.660954381136,-2.5320979384831106,549
2022,8,Load_MW,744,1608.8672453818758,1360.8848277333911,21.721735414038523,-1.4116705037915103,45
2022,8,Price,744,357.0450306653191,348.69710504924075,78.99838477582422,-19.73760635650821,744
2022,9,CF_Solar,720,0.13377536361293813,0.12119793083064777,1692.9420797967027,-2.075584416350987,312
2022,9,CF_Wind,720,0.3249975138850344,0.2970623427481371,2351.8104397159764,-2.1523071043876536,503
2022,9,Load_MW,720,1685.2120372763507,1418.1160476273699,21.195203665763866,-1.2472747421879262,45
2022,9,Price,720,318.10757969693765,306.04339933527467,76.057179200477,-11.852815156731506,693
2022,10,CF_Solar,744,0.09015133115142777,0.07962981105401137,871.1367788793368,-1.7542442431381593,84
2022,10,CF_Wind,744,0.2134561540455209,0.1864485085994896,2370.608110469279,-0.07336830950609974,266
2022,10,Load_MW,744,1708.3810778952159,1391.8631083177554,20.912869666789355,-1.474442755651915,71
2022,10,Price,744,113.44670613354712,94.9281161811872,51.04335246449222,-1.7694812644249227,178
2022,11,CF_Solar,720,0.10761483819847308,0.09537590009033446,1811.2671171306513,-9.881882869983345,160
2022,11,CF_Wind,720,0.20901142301771963,0.18737355486172666,1976.0644966334394,-0.3616726771057748,266
2022,11,Load_MW,720,1970.7609285063177,1651.9977797678127,21.805929362400935,-1.4619476756288696,125
2022,11,Price,720,145.16797467451164,123.90021924449181,53.59009603494237,-2.3107014765656393,280
2022,12,CF_Solar,744,0.13070417358793865,0.11298014533723019,3228.337822301363,-47.53337437339163,271
2022,12,CF_Wind,744,0.21520687199735372,0.17501711814685103,873.3800939250475,0.09578839003607542,247
2022,12,Load_MW,744,2110.463351133146,1772.725451610159,22.348901066681222,-1.5287591110345002,160
2022,12,Price,744,230.83198215717155,189.7901975841693,84.63341209434732,-1.4581464738835477,476
