Model,RMSE,Lat(ms/sample),Avg_CPU(%),Inc_RAM(MB),Params
Ridge (Baseline),0.6529593983795356,0.00048,100.0,12.00,N/A
dCeNN-ELM (Proposed),972.7105735088716,0.00134,100.0,15.25,"8,016"
LSTM (Benchmark),640.8595942000577,0.05466,69.1,58.37,"79,364"
