rank,reason,veto_count,share_of_vetoed_false_positives_percent
1,Transient non-persistent spike,3405,43.94
2,PV-at-night,2206,28.47
3,Missing co-anomaly confirmation,1869,24.12
4,Holiday/weekend-exemption (proxy),186,2.4
5,Wind-ramp-guard (proxy),83,1.07
