target,hour_index,Time (UTC)
CF_Solar,456092,2022-01-11 20:00:00+00:00
CF_Wind,456092,2022-01-11 20:00:00+00:00
Price,456092,2022-01-11 20:00:00+00:00
CF_Solar,456093,2022-01-11 21:00:00+00:00
CF_Wind,456093,2022-01-11 21:00:00+00:00
Price,456093,2022-01-11 21:00:00+00:00
Price,456094,2022-01-11 22:00:00+00:00
Price,456103,2022-01-12 07:00:00+00:00
n_targets,456103,2022-01-12 07:00:00+00:00
Price,456104,2022-01-12 08:00:00+00:00
Price,456105,2022-01-12 09:00:00+00:00
Price,456106,2022-01-12 10:00:00+00:00
Load_MW,456107,2022-01-12 11:00:00+00:00
Price,456107,2022-01-12 11:00:00+00:00
Load_MW,456108,2022-01-12 12:00:00+00:00
Price,456108,2022-01-12 12:00:00+00:00
Load_MW,456109,2022-01-12 13:00:00+00:00
Price,456109,2022-01-12 13:00:00+00:00
Load_MW,456110,2022-01-12 14:00:00+00:00
Price,456110,2022-01-12 14:00:00+00:00
CF_Solar,456111,2022-01-12 15:00:00+00:00
Load_MW,456111,2022-01-12 15:00:00+00:00
Price,456111,2022-01-12 15:00:00+00:00
CF_Solar,456112,2022-01-12 16:00:00+00:00
Load_MW,456112,2022-01-12 16:00:00+00:00
Price,456112,2022-01-12 16:00:00+00:00
CF_Solar,456113,2022-01-12 17:00:00+00:00
Load_MW,456113,2022-01-12 17:00:00+00:00
Price,456113,2022-01-12 17:00:00+00:00
CF_Solar,456114,2022-01-12 18:00:00+00:00
Price,456114,2022-01-12 18:00:00+00:00
Price,456115,2022-01-12 19:00:00+00:00
Price,456128,2022-01-13 08:00:00+00:00
Price,456129,2022-01-13 09:00:00+00:00
Load_MW,456130,2022-01-13 10:00:00+00:00
Price,456130,2022-01-13 10:00:00+00:00
Load_MW,456131,2022-01-13 11:00:00+00:00
Load_MW,456132,2022-01-13 12:00:00+00:00
Load_MW,456133,2022-01-13 13:00:00+00:00
Load_MW,456134,2022-01-13 14:00:00+00:00
CF_Solar,456135,2022-01-13 15:00:00+00:00
Load_MW,456135,2022-01-13 15:00:00+00:00
CF_Solar,456136,2022-01-13 16:00:00+00:00
Load_MW,456136,2022-01-13 16:00:00+00:00
CF_Solar,456137,2022-01-13 17:00:00+00:00
Load_MW,456137,2022-01-13 17:00:00+00:00
Price,456137,2022-01-13 17:00:00+00:00
Price,456138,2022-01-13 18:00:00+00:00
Load_MW,456156,2022-01-14 12:00:00+00:00
n_targets,456156,2022-01-14 12:00:00+00:00
CF_Solar,456160,2022-01-14 16:00:00+00:00
CF_Solar,456161,2022-01-14 17:00:00+00:00
CF_Wind,456161,2022-01-14 17:00:00+00:00
CF_Solar,456162,2022-01-14 18:00:00+00:00
Price,456162,2022-01-14 18:00:00+00:00
CF_Solar,456163,2022-01-14 19:00:00+00:00
Price,456163,2022-01-14 19:00:00+00:00
CF_Solar,456164,2022-01-14 20:00:00+00:00
CF_Solar,456165,2022-01-14 21:00:00+00:00
CF_Wind,456165,2022-01-14 21:00:00+00:00
CF_Solar,456166,2022-01-14 22:00:00+00:00
CF_Wind,456166,2022-01-14 22:00:00+00:00
CF_Solar,456167,2022-01-14 23:00:00+00:00
CF_Wind,456167,2022-01-14 23:00:00+00:00
CF_Solar,456168,2022-01-15 00:00:00+00:00
CF_Wind,456168,2022-01-15 00:00:00+00:00
Price,456177,2022-01-15 09:00:00+00:00
n_targets,456177,2022-01-15 09:00:00+00:00
Price,456178,2022-01-15 10:00:00+00:00
Price,456179,2022-01-15 11:00:00+00:00
Price,456180,2022-01-15 12:00:00+00:00
Price,456181,2022-01-15 13:00:00+00:00
n_targets,456181,2022-01-15 13:00:00+00:00
Price,456182,2022-01-15 14:00:00+00:00
Price,456183,2022-01-15 15:00:00+00:00
CF_Solar,456184,2022-01-15 16:00:00+00:00
Price,456184,2022-01-15 16:00:00+00:00
CF_Solar,456185,2022-01-15 17:00:00+00:00
