Time (UTC),CF_Solar_true,CF_Solar_pred,CF_Solar_resid,CF_Solar_abs,CF_Wind_true,CF_Wind_pred,CF_Wind_resid,CF_Wind_abs,Load_MW_true,Load_MW_pred,Load_MW_resid,Load_MW_abs,Price_true,Price_pred,Price_resid,Price_abs,bucket,CF_Solar_thr,CF_Solar_anom,CF_Wind_thr,CF_Wind_anom,Load_MW_thr,Load_MW_anom,Price_thr,Price_anom,combined_score,anomaly_score,n_targets_anom,any_anomaly_flag
2022-11-10 05:00:00,0.0,0.05607137126502262,-0.05607137126502262,0.05607137126502262,0.062,0.23865344486004825,-0.17665344486004825,0.17665344486004825,7642.0,6179.525233300011,1462.4747666999892,1462.4747666999892,196.975,85.97839179772919,110.9966082022708,110.9966082022708,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-10 06:00:00,0.0012,0.08123471835269352,-0.08003471835269352,0.08003471835269352,0.0902857142857142,0.22669306062653588,-0.1364073463408217,0.1364073463408217,8400.0,6546.518055173928,1853.4819448260723,1853.4819448260723,211.9675,90.07163135238906,121.89586864761094,121.89586864761094,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-10 07:00:00,0.0068,0.13191703927121026,-0.12511703927121026,0.12511703927121026,0.1162857142857142,0.22469223525594986,-0.10840652097023566,0.10840652097023566,8660.0,5953.443613984474,2706.556386015526,2706.556386015526,213.9325,89.38515419981944,124.54734580018057,124.54734580018057,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-10 08:00:00,0.016,0.15316762360935085,-0.13716762360935086,0.13716762360935086,0.0954285714285714,0.2578909250660487,-0.1624623536374773,0.1624623536374773,8675.0,5751.704447340206,2923.2955526597943,2923.2955526597943,197.54,88.48656036029796,109.05343963970203,109.05343963970203,0,0.1354685430450916,1,0.22942692268133277,0,2830.1728742173214,1,132.79504203573086,0,0.045445774355836965,0.045445774355836965,2,1
2022-11-10 09:00:00,0.0284,0.15118579463753515,-0.12278579463753514,0.12278579463753514,0.0951428571428571,0.24311297661355374,-0.14797011947069666,0.14797011947069666,8774.0,5421.777669150105,3352.222330849895,3352.222330849895,191.765,87.39211723888702,104.37288276111296,104.37288276111296,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,1,132.79504203573086,0,0.18445850477446935,0.18445850477446935,1,1
2022-11-10 10:00:00,0.0492,0.16830536322583314,-0.11910536322583315,0.11910536322583315,0.1182857142857142,0.26331154829955555,-0.14502583401384134,0.14502583401384134,8751.0,5170.860050521912,3580.139949478088,3580.139949478088,185.2825,86.51434119709386,98.76815880290614,98.76815880290614,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,1,132.79504203573086,0,0.26498984641244006,0.26498984641244006,1,1
2022-11-10 11:00:00,0.066,0.14349110242686977,-0.07749110242686977,0.07749110242686977,0.1297142857142857,0.2590491166101204,-0.12933483089583472,0.12933483089583472,8527.0,5552.366469560818,2974.6335304391823,2974.6335304391823,185.2125,88.41112342376219,96.80137657623781,96.80137657623781,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,1,132.79504203573086,0,0.05104305024503497,0.05104305024503497,1,1
2022-11-10 12:00:00,0.0688,0.13828893684318572,-0.06948893684318572,0.06948893684318572,0.1085714285714285,0.26737534760440973,-0.15880391903298124,0.15880391903298124,8350.0,5405.037840494139,2944.9621595058607,2944.9621595058607,185.45,88.09342316158889,97.3565768384111,97.3565768384111,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,1,132.79504203573086,0,0.040559107301614494,0.040559107301614494,1,1
2022-11-10 13:00:00,0.058,0.12223480095257866,-0.06423480095257866,0.06423480095257866,0.1157142857142857,0.26664303949647555,-0.15092875378218984,0.15092875378218984,8208.0,5809.949183403851,2398.050816596149,2398.050816596149,183.925,90.24062681574556,93.68437318425445,93.68437318425445,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
2022-11-10 14:00:00,0.0336,0.12277099810879008,-0.08917099810879009,0.08917099810879009,0.0997142857142857,0.2731912469746292,-0.1734769612603435,0.1734769612603435,8242.0,5863.187923018216,2378.8120769817842,2378.8120769817842,186.94,90.65050171699573,96.28949828300426,96.28949828300426,0,0.1354685430450916,0,0.22942692268133277,0,2830.1728742173214,0,132.79504203573086,0,0.0,0.0,0,0
